chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_270C_plus_tin_g,SCW_580C_plus_tin_g,SDW_60C_g,SCW_270C_g,SCW_580C_g,difference 270_580C,percent difference 270_580C,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,perc_water_wt,tin_wt_g_2,total_wet_wt_g_2,SWW_g_2,SDW_60C_g_2,SCW_500C_plus_tin_g_2,SCW_500C_g_2,total_AFDW_g_2,total_DW_g_2,total_AFDW_final,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2262,5191,2,3,2929,2.929,NA,4.5506,0.0578,0.1671,1.2432,2.0701,1,0.79990000000000006,1.8853,0.9903,0.95,0.8987,0.1904,0.1501,0.0988,0.0513,26.94327731,0.45957367,0.221097417,8.5,7.5,6,0.01128029,0.899008115,0.7976,4.5506,0.8435,0.1037505,0.862,0.0644,0.212292099,0.5597238,0.212292099,22.262471798939522,-3.9338219305636906,26.196293729503214,9.5C,9.5,123.39740316714854,104.86717076992828,-18.530232397220257,2322.306760686402,1973.5726474177102,-348.7341132686917,ambient
2,2354,5252,4,3,2898,2.898,NA,5.2605,0.0924,0.1131,1.2641,2.5168,2,0.8114,2.1879,1.1256,1.074,1.0162,0.3142,0.2626,0.2048,0.0578,18.39592616,0.755450021,0.263037022,9,7.5,5.5,0.011245173,0.856391974,0.7995,5.2605,0.2227,0.0273921,0.8264,0.0269,0.011624122,0.6470415,0.011624122,40.02252466282081,-10.3182392183874,50.340763881208204,18.5C,18.5,4330.715376284609,3443.0578638817456,-887.6575124028636,4476.655350807693,3559.0848324717463,-917.5705183359473,ambient
3,2941,5586,2,2,2645,2.645,NA,15.4485,0.0827,0.1462,1.2161,3.6007,3,0.8005,3.0325,1.1389,1.0635,0.9837,0.3384,0.263,0.1832,0.0798,23.58156028,1.723915054,0.790637164,12.5,9.5,6,0.018090417,0.888408904,0.8014,15.4485,3.1913,0.3925299,1.0464,0.245,0.714165281,1.9001655,0.714165281,35.09681215825935,-5.595219786031259,40.692031944290605,9.5C,9.5,56.97845166501535,49.14382299446918,-7.834628670546166,2249.3694835387487,1940.0775647271892,-309.29191881155964,ambient
4,2724,5472,2,3,2748,2.748,NA,8.4891,0.0667,0.1243,1.3499,3.6013,4,0.7951,3.2508,1.0968,1.0149,0.917,0.3017,0.2198,0.1219,0.0979,32.4494531,0.787855749,0.469527556,10,9.5,5.5,0.014537485,0.907192076,0.7963,8.4891,1.2491,0.1536393,0.8534,0.0571,0.656097808,1.0441593,0.656097808,24.191498097965226,-3.998642032062067,28.190140130027295,9.5C,9.5,42.966368407722676,36.87178619253248,-6.094582215190189,1939.13459790516,1664.077252562271,-275.0573453428889,ambient
5,2409,5295,3,1,2886,2.886,NA,5.146,0.0654,0.1202,1.1815,2.5814,5,0.7802,2.0329,1.0062,0.9517,0.8904,0.226,0.1715,0.1102,0.0613,27.12389381,0.572087166,0.293131389,9.5,6.5,6,0.011185008,0.888828767,0.8071,5.146,0.2408,0.0296184,0.8226,0.0155,0.301716306,0.632958,0.301716306,26.677639580267982,-7.450128949705312,34.127768529973295,15.5C,15.5,113.1121117795115,88.4196148824253,-24.692496897086205,3051.206447950086,2385.1247652454053,-666.0816827046805,ambient
6,2889,5570,2,4,2681,2.681,NA,12.0737,0.0744,0.1041,1.3619,3.7322,6,0.7876,3.1824,1.1668,1.0832,0.9932,0.3792,0.2956,0.2056,0.09,23.73417722,1.438646003,0.658620639,11.5,8,7,0.016220823,0.880844646,0.7911,12.0737,2.6819,0.3298737,0.9776,0.1865,0.645456968,1.4850651,0.645456968,29.334492185953724,-5.261362482686911,34.595854668640634,9.5C,9.5,53.599010288538146,45.44763421928652,-8.151376069251624,2132.805139951323,1808.4465989150938,-324.35854103622927,ambient
7,2463,5306,4,2,2843,2.843,NA,5.6765,0.0692,0.1262,1.229,1.9682,7,0.789,2.3768,1.0631,1.0176,0.9575,0.2741,0.2286,0.1685,0.0601,21.92630427,0.654631711,0.252203972,9.5,8,5,0.011743485,0.884676876,0.7931,5.6765,0.8085,0.0994455,0.8409,0.0478,0.362604429,0.6982095,0.362604429,43.60744067942611,-9.767516372255539,53.37495705168165,18.5C,18.5,147.19885578585044,120.2617430782295,-26.93711270762095,4545.069632369066,3713.3304704205025,-831.7391619485646,ambient
8,2290,5202,3,4,2912,2.912,NA,6.7566,0.0496,0.09,1.1064,2.7144,8,0.7847,2.3967,1.0174,0.9538,0.8763,0.2327,0.1691,0.0916,0.0775,33.30468414,0.65601069,0.397778721,10,8,5,0.012242066,0.902908165,0.7975,6.7566,1.3106,0.1612038,0.8468,0.0493,0.576903109,0.8310618,0.576903109,39.64794285511992,-10.131704608276088,49.77964746339601,15.5C,15.5,86.2877087795275,68.72547961103105,-17.562229168496454,4066.278311470957,3238.664360665914,-827.6139508050429,ambient
9,2907,5608,4,4,2701,2.701,NA,13.8302,0.0492,0.0991,1.4421,5.5441,9,0.8197,3.3468,1.2145,1.1371,1.0434,0.3948,0.3174,0.2237,0.0937,23.73353597,1.631457798,0.707047693,11,8,7,0.015658137,0.882036572,0.8031,13.8302,2.5804,0.3173892,0.9469,0.1438,0.930388062,1.7011146,0.930388062,48.552429124197786,-12.521403719959316,61.0738328441571,18.5C,18.5,65.64339692071103,52.18513769386455,-13.458259226846481,3900.453345385668,3100.779430158121,-799.673915227547,ambient
10,2584,5380,4,1,2796,2.796,NA,8.0207,0.0546,0.1157,1.2243,3.3023,10,0.8046,3.4576,1.3079,1.211,1.1067,0.5033,0.4064,0.3021,0.1043,20.7232267,1.167520335,0.466729766,9.5,8.5,5.5,0.012840422,0.854436603,0.8033,8.0207,0.9316,0.1145868,0.8824,0.0791,0.305527025,0.9865461,0.305527025,52.64722563469709,-10.674374420284883,63.32160005498197,18.5C,18.5,207.25367929394125,172.31610079238354,-34.9375785015577,4931.426712843391,4100.11646304904,-831.3102497943512,ambient
11,2596,5382,1,4,2786,2.786,NA,12.3402,0.0506,0.1153,1.4607,3.9269,11,0.7975,3.2983,1.1663,1.0873,0.9959,0.3688,0.2898,0.1984,0.0914,24.78308026,1.379821654,0.63753148,10,10,5.5,0.015127527,0.888184822,0.8061,12.3402,2.1893,0.2692839,0.955,0.1489,0.67855543,1.5178446,0.67855543,33.76191395066497,-7.712422695702834,41.4743366463678,12.5C,12.5,61.12151611013975,49.75557258552182,-11.36594352461793,2741.6468432922184,2231.8197779891566,-509.82706530306206,ambient
12,2583,5382,3,1,2799,2.799,NA,12.5272,0.0414,0.1025,1.5237,2.5245,12,0.8021,3.3648,1.1876,1.1094,1.0241,0.3855,0.3073,0.222,0.0853,22.12710765,1.435222183,0.60871291,10.5,10,5,0.015123725,0.885431526,0.801,12.5272,2.4318,0.2991114,0.9956,0.1946,0.538381121,1.5408456,0.538381121,52.87415333497563,-13.564956448037934,66.43910978301356,15.5C,15.5,123.40534835175538,98.20952346316696,-25.19582488858842,4393.038737679611,3496.1065038524325,-896.9322338271778,ambient
13,2466,5303,1,1,2837,2.837,NA,6.063,0.0419,0.1129,1.322,2.3539,13,0.7888,2.3581,1.266,1.1952,1.1136,0.4772,0.4064,0.3248,0.0816,17.09974853,1.226946949,0.391841398,9,8,6,0.012319978,0.797633688,0.7991,6.063,1.1075,0.1362225,0.9654,0.1663,-0.164659036,0.745749,0.392,31.134422494304214,-6.730509641656259,37.86493213596047,12.5C,12.5,96.59421463255222,79.42454717934748,-17.16966745320474,3073.4577720804755,2527.149195745659,-546.3085763348164,ambient
14,2957,5633,3,3,2676,2.676,NA,10.7494,0.0986,0.0988,1.3088,2.8576,14,0.8037,2.8255,1.1922,1.1221,1.0491,0.3885,0.3184,0.2454,0.073,18.79021879,1.478018722,0.544413074,11.5,9.5,7,0.018210413,0.862502212,0.8077,10.7494,2.4393,0.3000339,1.0365,0.2288,0.313910419,1.3221762,0.313910419,58.90357355034622,-15.44522394482348,74.3487974951697,15.5C,15.5,236.84717994393714,187.6445316405577,-49.20264830337945,4082.76283987462,3234.6094265048364,-848.1534133697835,ambient
15,2260,5168,1,2,2908,2.908,NA,4.1662,0.0566,0.1002,1.2962,1.4583,15,0.7901,1.9628,1.0848,1.0267,0.9635,0.2947,0.2366,0.1734,0.0632,21.44553784,0.625524322,0.257468953,10,9.5,5,0.013958869,0.849857347,0.7858,4.1662,0.4746,0.0583758,0.8327,0.0469,0.10073847,0.5124426,0.10073847,35.59023164547282,-7.253711336913824,42.84394298238664,12.5C,12.5,425.298726319614,353.2933510452642,-72.00537527434975,3069.29902289266,2549.6500931037335,-519.6489297889266,ambient
16,2817,5527,1,2,2710,2.71,NA,10.5088,0.0534,0.1029,0.933,4.388,16,0.7937,2.6917,1.0346,0.9739,0.9053,0.2409,0.1802,0.1116,0.0686,28.47654628,0.940509685,0.504806568,10.5,9,7,0.016346817,0.910502656,0.8178,10.5088,2.1151,0.2601573,0.9183,0.1005,0.793251683,1.2925824,0.793251683,35.08925309617276,-6.657652402209532,41.74690549838229,12.5C,12.5,52.627566247952466,44.23470362327962,-8.392862624672846,2553.8247292046085,2146.5495757475455,-407.27515345706337,ambient
